,Unnamed: 0,gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,distance,tuition,education,income,region,filled_wage
54,55,female,other,56.43999863,no,no,yes,no,5.400000095,0.10000000099999999,0.84987998,16,low,other,8.850000381000001
55,56,male,afam,42.65000153,no,no,yes,no,5.400000095,0.10000000099999999,0.84987998,12,low,other,8.850000381000001
56,57,female,other,60.04999924,yes,yes,yes,no,5.400000095,0.10000000099999999,0.84987998,15,high,other,8.850000381000001
57,58,female,other,38.31999969,no,no,no,no,5.400000095,0.10000000099999999,0.84987998,12,low,other,8.850000381000001
58,59,female,other,65.87000275,yes,no,yes,no,5.400000095,0.10000000099999999,0.84987998,15,high,other,8.850000381000001
59,60,male,other,44.65000153,no,no,yes,no,5.400000095,0.10000000099999999,0.84987998,13,low,other,8.850000381000001
60,61,male,other,57.74000168,no,no,yes,no,5.5,1.5,0.889150023,16,high,other,8.090000153
61,62,male,other,60.38000107,yes,no,yes,no,5.5,1.5,0.889150023,12,high,other,8.090000153
62,63,male,other,62.77000046,no,no,no,no,5.5,1.5,0.889150023,12,high,other,8.090000153
63,64,male,other,59.72999954,no,no,yes,no,5.5,1.5,0.889150023,16,low,other,8.090000153
64,65,female,other,57.06000137,yes,no,yes,no,5.5,1.5,0.889150023,16,high,other,8.090000153
65,66,female,other,58.02000046,no,no,yes,no,5.5,1.5,0.889150023,15,low,other,8.090000153
66,67,female,other,54.74000168,no,no,yes,no,5.5,1.5,0.889150023,12,low,other,8.090000153
67,68,female,other,46.27999878,no,no,yes,no,6.900000095,2.0,0.902999997,14,low,other,7.0399999620000004
68,69,female,other,60.40000153,no,no,yes,no,6.900000095,2.0,0.902999997,12,low,other,7.0399999620000004
69,70,male,other,53.20999908,no,no,yes,no,6.900000095,2.0,0.902999997,18,high,other,7.0399999620000004
70,71,female,other,60.93000031,no,no,yes,no,6.5,1.5,0.889150023,14,low,other,8.090000153
71,72,female,other,48.43999863,no,no,yes,no,6.5,1.5,0.889150023,15,low,other,8.090000153
72,73,female,other,45.31000137,no,no,yes,no,7.6999998089999995,2.0,0.902999997,12,low,other,7.0399999620000004
73,74,male,other,60.22000122,yes,no,yes,no,7.6999998089999995,2.0,0.902999997,12,high,other,7.0399999620000004
74,75,male,other,56.41999817,no,no,yes,no,7.6999998089999995,2.0,0.902999997,16,low,other,7.0399999620000004
75,76,female,other,62.27000046,no,yes,yes,no,7.6999998089999995,2.0,0.902999997,17,high,other,7.0399999620000004
76,77,male,other,51.84000015,yes,yes,no,no,4.400000095,0.5,0.889150023,18,high,other,8.090000153
77,78,female,other,57.54999924,no,no,yes,no,4.400000095,0.5,0.889150023,16,high,other,8.090000153
78,79,female,other,57.61999893,yes,no,yes,no,4.400000095,0.5,0.889150023,12,high,other,8.090000153
79,80,male,other,57.5,no,yes,yes,no,4.400000095,0.5,0.889150023,12,high,other,8.090000153
80,81,male,other,65.30999756,yes,no,yes,no,7.5,0.5,0.889150023,16,low,other,8.090000153
81,82,male,other,50.61999893,yes,no,yes,no,7.5,0.5,0.889150023,14,high,other,8.090000153
82,83,male,other,51.22999954,no,no,yes,no,7.5,0.5,0.889150023,15,low,other,8.090000153
83,84,female,other,53.54999924,no,no,no,no,7.5,0.5,0.889150023,14,low,other,8.090000153
84,85,female,other,48.52000046,no,no,yes,no,7.5,0.5,0.889150023,12,low,other,8.090000153
85,86,female,other,43.40999985,no,no,yes,no,7.5,0.5,0.889150023,14,low,other,8.090000153
86,87,female,other,57.5,no,no,yes,no,7.5,0.5,0.889150023,14,low,other,8.090000153
87,88,female,other,51.31999969,no,no,yes,no,5.900000095,1.200000048,1.3856800790000001,15,low,other,7.090000152999999
88,89,female,other,36.36999893,no,no,no,no,5.900000095,1.200000048,1.3856800790000001,12,low,other,7.090000152999999
89,90,female,other,43.79999924,no,no,yes,no,5.900000095,1.200000048,1.3856800790000001,12,low,other,7.090000152999999
90,91,female,other,45.13999939,no,no,yes,no,5.900000095,1.200000048,1.3856800790000001,12,high,other,7.090000152999999
91,92,female,other,63.25999832,no,no,yes,no,5.900000095,1.200000048,1.3856800790000001,16,low,other,7.090000152999999
92,93,female,other,51.31999969,yes,yes,yes,no,5.900000095,1.200000048,1.3856800790000001,17,low,other,7.090000152999999
93,94,male,other,44.22999954,no,no,yes,no,5.900000095,1.200000048,1.3856800790000001,12,low,other,7.090000152999999
94,95,female,other,42.93000031,no,no,yes,no,5.3000001910000005,0.10000000099999999,0.889150023,12,high,other,8.090000153
95,96,female,other,47.59999847,no,no,yes,no,5.3000001910000005,0.10000000099999999,0.889150023,12,low,other,8.090000153
96,97,male,other,56.47000122,yes,no,yes,no,5.3000001910000005,0.10000000099999999,0.889150023,13,high,other,8.090000153
97,98,male,other,64.69000244,no,no,yes,no,5.3000001910000005,0.10000000099999999,0.889150023,16,low,other,8.090000153
98,99,female,other,62.34999847,yes,yes,yes,no,5.3000001910000005,0.10000000099999999,0.889150023,16,low,other,8.090000153
99,100,female,other,48.95999908,no,no,yes,no,6.099999905,2.5,1.112010002,12,low,other,7.690000057000001
100,101,female,other,40.27999878,no,no,yes,no,6.099999905,2.5,1.112010002,12,high,other,7.690000057000001
101,102,male,other,44.65999985,no,no,yes,no,6.099999905,2.5,1.112010002,12,low,other,7.690000057000001
102,103,male,other,65.45999908,no,no,no,no,6.099999905,2.5,1.112010002,12,low,other,7.690000057000001
103,104,female,other,37.81000137,no,no,yes,no,6.099999905,2.5,1.112010002,12,low,other,7.690000057000001
104,105,male,other,66.94999695,yes,yes,yes,no,6.099999905,2.5,1.112010002,16,high,other,7.690000057000001
105,106,female,other,55.63999939,no,no,yes,no,6.099999905,2.5,1.112010002,16,high,other,7.690000057000001
106,107,female,other,51.27999878,no,yes,yes,no,6.5,3.5,0.889150023,16,low,other,8.090000153
107,108,female,other,52.77999878,no,no,yes,no,6.5,3.5,0.889150023,14,low,other,8.090000153
108,109,female,other,64.59999847,no,no,yes,no,6.5,3.5,0.889150023,16,low,other,8.090000153
109,110,female,other,61.72999954,yes,no,yes,no,6.5,3.5,0.889150023,16,low,other,8.090000153
110,111,male,afam,50.81000137,no,yes,yes,no,5.400000095,1.899999976,0.889150023,16,low,other,8.090000153
111,112,male,other,44.45999908,yes,yes,yes,no,5.400000095,1.899999976,0.889150023,12,high,other,8.090000153
112,113,female,other,41.58000183,no,no,yes,no,13.5,5.0,1.112010002,12,low,other,7.690000057000001
113,114,female,other,40.70000076,no,no,no,no,13.5,5.0,1.112010002,12,low,other,7.690000057000001
114,115,female,other,39.63000107,no,no,yes,no,13.5,5.0,1.112010002,12,low,other,7.690000057000001
115,116,female,other,54.16999817,no,no,yes,no,13.5,5.0,1.112010002,12,low,other,7.690000057000001
116,117,male,hispanic,38.95000076,no,no,yes,no,13.5,5.0,1.112010002,13,high,other,7.690000057000001
117,118,female,other,62.84000015,no,no,yes,no,13.5,5.0,1.112010002,15,low,other,7.690000057000001
118,119,male,other,64.48000336,no,no,no,no,8.699999809,1.5,0.84987998,16,low,other,8.850000381000001
119,120,female,other,47.09000015,no,no,yes,no,8.699999809,1.5,0.84987998,12,high,other,8.850000381000001
120,121,female,other,50.95000076,no,no,yes,no,8.699999809,1.5,0.84987998,12,low,other,8.850000381000001
121,122,male,other,44.45999908,no,no,yes,no,8.699999809,1.5,0.84987998,12,high,other,8.850000381000001
122,123,female,other,58.88999939,no,yes,no,no,8.699999809,1.5,0.84987998,12,high,other,8.850000381000001
123,124,female,afam,54.36000061,no,no,yes,no,8.699999809,1.5,0.84987998,16,low,other,8.850000381000001
124,125,female,other,45.29000092,no,no,yes,no,8.699999809,1.5,0.84987998,13,low,other,8.850000381000001
125,126,female,other,50.88770227922496,no,no,yes,no,6.5,0.800000012,0.889150023,15,low,other,8.090000153
126,127,male,other,52.74000168,yes,no,yes,no,6.5,0.800000012,0.889150023,12,high,other,8.090000153
127,128,male,other,60.93999863,no,no,yes,no,6.5,0.800000012,0.889150023,12,low,other,8.090000153
128,129,male,other,40.18000031,no,no,yes,no,6.5,0.800000012,0.889150023,12,high,other,8.090000153
129,130,female,other,58.09000015,no,yes,yes,no,6.5,0.800000012,0.889150023,12,low,other,8.090000153
130,131,male,other,54.25999832,no,no,yes,no,6.5,0.800000012,0.889150023,14,low,other,8.090000153
131,132,female,other,57.13000107,yes,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,16,high,other,7.690000057000001
132,133,female,other,64.98000336,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,12,low,other,7.690000057000001
133,134,male,other,65.34999847,no,no,no,no,7.8000001910000005,1.7999999519999998,1.112010002,14,low,other,7.690000057000001
134,135,female,other,55.95999908,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,12,low,other,7.690000057000001
135,136,female,other,61.72999954,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,16,high,other,7.690000057000001
136,137,male,other,56.34999847,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,12,low,other,7.690000057000001
137,138,male,other,51.09999847,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,13,high,other,7.690000057000001
138,139,female,other,39.52000046,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,12,low,other,7.690000057000001
139,140,female,other,60.75,yes,yes,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,16,low,other,7.690000057000001
140,141,male,other,38.18999863,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,12,low,other,7.690000057000001
141,142,female,other,51.02000046,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,16,low,other,7.690000057000001
142,143,male,other,53.65000153,no,no,yes,no,7.8000001910000005,1.7999999519999998,1.112010002,16,low,other,7.690000056999997
143,144,male,other,56.34999847,no,no,yes,no,5.400000095,0.800000012,0.84987998,15,high,other,8.850000381000001
144,145,female,other,52.95000076,no,no,yes,no,5.400000095,0.800000012,0.84987998,15,high,other,8.850000381000001
145,146,male,other,63.40999985,no,no,yes,no,5.400000095,0.800000012,0.84987998,13,low,other,8.850000381000001
146,147,male,other,66.16999817,yes,yes,yes,no,5.400000095,0.800000012,0.84987998,16,high,other,8.850000381000001
147,148,male,other,45.09999847,no,no,yes,no,5.400000095,0.800000012,0.84987998,13,high,other,8.850000381000001
148,149,male,other,66.94999695,yes,no,yes,no,5.400000095,0.800000012,0.84987998,16,low,other,8.850000381000001
149,150,female,other,62.90000153,yes,no,yes,no,5.400000095,0.800000012,0.84987998,18,high,other,8.850000381000001
150,151,male,other,52.97999954,yes,yes,yes,no,7.1999998089999995,0.800000012,0.84987998,13,high,other,8.850000381000001
151,152,female,other,62.29000092,no,yes,yes,no,7.1999998089999995,0.800000012,0.84987998,13,low,other,8.850000381000001
152,153,male,other,44.31000137,no,yes,yes,no,7.1999998089999995,0.800000012,0.84987998,12,low,other,8.850000381000001
153,154,female,other,64.11000061,yes,no,yes,no,4.400000095,1.5,0.889150023,16,low,other,8.090000153
154,155,male,other,58.61999893,no,no,yes,no,4.400000095,1.5,0.889150023,13,high,other,8.090000153
155,156,female,other,56.91999817,no,no,yes,no,4.400000095,1.5,0.889150023,12,low,other,8.090000153
156,157,female,other,52.66999817,no,no,yes,no,4.400000095,1.5,0.889150023,12,low,other,8.090000153
157,158,male,other,64.83000183,yes,yes,yes,no,4.400000095,1.5,0.889150023,15,high,other,8.090000153
158,159,male,other,49.90000153,no,no,yes,no,4.400000095,1.5,0.889150023,12,low,other,8.090000153
159,160,female,other,62.54999924,no,no,yes,no,4.400000095,1.5,0.889150023,17,high,other,8.090000153
160,161,male,other,66.48999786,no,no,yes,no,4.400000095,1.5,0.889150023,17,high,other,8.090000153
161,162,male,other,62.13999939,yes,yes,yes,no,4.400000095,1.5,0.889150023,17,low,other,8.090000153
162,163,male,other,49.20000076,no,no,yes,yes,6.5,0.200000003,0.889150023,13,low,other,8.090000153
163,164,female,other,51.47000122,no,no,yes,yes,6.5,0.200000003,0.889150023,14,low,other,8.090000153
164,165,female,other,62.15000153,no,no,yes,yes,6.5,0.200000003,0.889150023,14,low,other,8.090000153
165,166,female,afam,43.25999832,no,no,no,yes,6.5,0.200000003,0.889150023,12,low,other,8.090000153
166,167,female,other,54.54000092,no,yes,no,yes,6.5,0.200000003,0.889150023,12,low,other,8.090000153
167,168,male,other,58.72000122,no,no,yes,yes,6.5,0.200000003,0.889150023,18,low,other,8.090000153
168,169,female,other,57.88000107,yes,yes,yes,no,5.099999905,0.10000000099999999,0.84987998,13,high,other,8.850000381000001
169,170,female,other,68.5,yes,no,no,no,5.099999905,0.10000000099999999,0.84987998,15,low,other,8.850000381000001
170,171,male,other,52.63999939,no,yes,yes,no,5.099999905,0.10000000099999999,0.84987998,15,high,other,8.850000381000001
171,172,female,other,37.54000092,no,yes,no,yes,8.199999809,3.200000048,1.112010002,12,low,other,7.690000057000001
172,173,male,other,63.59000015,no,no,no,yes,8.199999809,3.200000048,1.112010002,16,low,other,7.690000057000001
173,174,female,other,49.90000153,no,no,yes,yes,8.199999809,3.200000048,1.112010002,12,low,other,7.690000057000001
174,175,male,other,67.18000031,yes,yes,yes,yes,8.199999809,3.200000048,1.112010002,15,low,other,7.690000057000001
175,176,female,other,61.02000046,no,no,yes,yes,8.199999809,3.200000048,1.112010002,12,low,other,7.690000057000001
176,177,female,other,55.88999939,no,no,yes,no,7.1999998089999995,0.600000024,0.84987998,16,high,other,8.850000381000001
177,178,male,other,59.24000168,no,no,yes,no,10.39999962,0.0,1.112010002,15,low,other,7.690000057000001
178,179,male,other,62.97999954,yes,no,yes,no,10.39999962,0.0,1.112010002,18,high,other,7.690000057000001
179,180,male,other,51.08000183,no,no,yes,no,10.39999962,0.0,1.112010002,12,low,other,7.690000057000001
180,181,female,other,57.11999893,no,no,yes,no,10.39999962,0.0,1.112010002,15,high,other,7.690000057000001
181,182,female,other,60.40999985,no,no,yes,no,10.39999962,0.0,1.112010002,17,low,other,7.690000057000001
182,183,female,other,44.27999878,no,no,yes,no,10.39999962,0.0,1.112010002,12,low,other,7.690000057000001
183,184,male,other,53.04999924,no,no,no,no,5.5,0.699999988,0.889150023,13,low,other,8.090000153
184,185,female,other,48.79999924,no,no,yes,no,5.5,0.699999988,0.889150023,12,low,other,8.090000153
185,186,male,other,53.59000015,no,no,yes,no,5.5,0.699999988,0.889150023,15,low,other,8.090000153
186,187,male,other,39.20999908,no,no,yes,no,5.5,0.699999988,0.889150023,12,low,other,8.090000153
187,188,female,other,65.93000031,yes,yes,yes,yes,5.099999905,1.5,0.84987998,14,low,other,8.850000381000001
188,189,female,other,56.08000183,no,yes,yes,yes,5.099999905,1.5,0.84987998,16,low,other,8.850000381000001
189,190,male,other,63.13000107,no,yes,yes,yes,5.099999905,1.5,0.84987998,17,high,other,8.850000381000001
190,191,female,other,58.36999893,no,no,yes,yes,5.099999905,1.5,0.84987998,16,low,other,8.850000381000001
191,192,male,other,59.90999985,no,yes,yes,yes,5.099999905,1.5,0.84987998,15,high,other,8.850000381000001
192,193,male,afam,51.40000153,no,no,no,yes,8.0,0.300000012,1.152420044,14,low,other,9.640000342999999
193,194,female,hispanic,49.09000015,no,no,no,yes,8.0,0.300000012,1.152420044,17,low,other,9.640000342999999
194,195,male,other,57.49000168,no,no,yes,no,6.3000001910000005,2.0,1.152420044,17,high,other,9.640000342999999
195,196,female,afam,45.36000061,yes,yes,no,yes,8.0,0.10000000099999999,1.152420044,16,high,other,9.640000342999999
196,197,male,other,44.68999863,no,no,yes,yes,8.0,0.10000000099999999,1.152420044,13,low,other,9.640000342999999
197,198,male,afam,45.84000015,no,no,no,yes,8.0,0.0,1.152420044,12,low,other,9.640000342999999
198,199,male,afam,55.65999985,no,no,yes,yes,8.0,0.0,1.152420044,16,low,other,9.640000342999999
199,200,male,hispanic,35.79999924,no,no,no,yes,8.0,0.0,1.152420044,12,low,other,9.640000342999999
200,201,male,afam,44.24000168,no,no,no,yes,8.0,0.0,1.152420044,14,high,other,9.640000342999999
201,202,male,afam,51.33000183,yes,yes,yes,yes,8.0,0.0,1.152420044,13,high,other,9.640000342999999
202,203,male,afam,56.45999908,no,yes,no,yes,8.0,0.400000006,1.152420044,15,high,other,9.640000342999999
203,204,male,other,48.02999878,no,no,yes,yes,8.0,0.400000006,1.152420044,12,low,other,9.640000342999999
204,205,male,other,63.77000046,no,no,no,yes,8.0,0.0,1.152420044,17,low,other,9.640000342999999
205,206,female,other,69.90000153,no,no,yes,yes,8.0,0.0,1.152420044,17,low,other,9.640000342999999
206,207,female,other,66.88999939,no,no,no,yes,8.0,0.0,1.152420044,16,low,other,9.640000342999999
207,208,female,other,68.44000244,yes,no,no,yes,8.0,0.0,1.152420044,17,low,other,9.640000342999999
208,209,male,afam,54.84999847,no,no,yes,yes,8.0,0.0,1.152420044,13,low,other,9.640000342999999
209,210,male,other,62.36000061,yes,yes,no,yes,8.0,1.5,1.152420044,16,high,other,9.640000342999999
210,211,female,other,44.04000092,no,no,no,yes,8.0,1.5,1.152420044,12,low,other,9.640000342999999
211,212,male,hispanic,56.93000031,no,no,yes,yes,8.0,1.5,1.152420044,16,low,other,9.640000342999999
212,213,male,afam,43.54000092,no,no,yes,yes,8.0,1.5,1.152420044,13,low,other,9.640000342999999
213,214,female,other,58.86999893,no,no,yes,no,6.0,1.5,1.152420044,12,low,other,9.640000342999999
214,215,female,other,54.16999817,yes,no,yes,no,6.0,1.5,1.152420044,16,high,other,9.640000342999999
215,216,female,other,58.72999954,yes,no,yes,no,6.0,1.5,1.152420044,16,low,other,9.640000342999999
216,217,female,other,58.84000015,no,yes,yes,no,6.0,1.5,1.152420044,16,low,other,9.640000342999999
217,218,female,other,65.79000092,no,no,yes,yes,8.0,0.5,1.152420044,17,low,other,9.640000342999999
218,219,female,hispanic,42.02999878,no,yes,yes,yes,8.0,0.5,1.152420044,14,low,other,9.640000342999999
219,220,male,other,60.43000031,no,no,yes,yes,8.0,0.5,1.152420044,16,low,other,9.640000342999999
220,221,female,hispanic,49.56999969,no,no,no,yes,8.0,0.5,1.152420044,15,low,other,9.640000342999999
221,222,female,other,51.95999908,no,no,yes,no,9.5,0.800000012,1.152420044,15,low,other,9.640000342999999
222,223,male,other,63.56999969,no,no,yes,no,9.5,0.800000012,1.152420044,16,low,other,9.640000342999999
223,224,female,other,51.68999863,no,no,yes,no,9.5,0.800000012,1.152420044,15,high,other,9.640000342999999
224,225,female,other,57.86999893,no,no,yes,no,9.5,0.800000012,1.152420044,15,high,other,9.640000342999999
225,226,female,other,49.81000137,no,no,yes,no,9.5,0.800000012,1.152420044,14,high,other,9.640000342999999
226,227,female,other,52.49000168,no,no,yes,no,9.5,0.800000012,1.152420044,14,low,other,9.640000342999999
227,228,male,other,43.22000122,no,no,yes,no,9.5,0.800000012,1.152420044,12,high,other,9.640000342999992
228,229,male,afam,58.52999878,yes,no,yes,yes,8.0,0.300000012,1.152420044,14,low,other,9.640000342999999
229,230,female,hispanic,43.63000107,no,no,no,yes,8.0,0.300000012,1.152420044,12,low,other,9.640000342999999
230,231,female,afam,54.79000092,no,no,yes,yes,8.0,0.300000012,1.152420044,13,high,other,9.640000342999999
231,232,male,afam,37.61000061,no,yes,yes,no,5.3000001910000005,0.300000012,1.152420044,13,high,other,9.640000342999999
232,233,female,other,62.25,yes,no,yes,no,5.3000001910000005,0.300000012,1.152420044,16,high,other,9.640000342999999
233,234,female,other,43.79999924,yes,no,yes,no,5.3000001910000005,0.300000012,1.152420044,12,high,other,9.640000342999999
234,235,male,other,51.95999908,no,no,yes,no,5.3000001910000005,0.300000012,1.152420044,15,low,other,9.640000342999999
235,236,female,other,49.20999908,no,no,yes,no,5.3000001910000005,0.300000012,1.152420044,15,low,other,9.640000342999999
236,237,female,other,52.34000015,no,no,yes,no,9.800000191,4.5,1.152420044,12,low,other,9.640000342999999
237,238,female,other,62.93999863,no,yes,yes,no,9.800000191,4.5,1.152420044,16,high,other,9.640000342999999
238,239,male,other,55.83000183,no,no,yes,no,9.800000191,4.5,1.152420044,12,low,other,9.640000342999999
239,240,male,other,62.11999893,no,no,yes,no,9.800000191,4.5,1.152420044,18,low,other,9.640000342999999
240,241,female,other,55.54000092,no,no,yes,no,9.800000191,4.5,1.152420044,12,high,other,9.640000342999999
241,242,female,other,65.12000275,no,no,yes,no,9.800000191,4.5,1.152420044,15,low,other,9.640000342999999
242,243,male,other,57.84999847,no,no,yes,no,9.800000191,4.5,1.152420044,15,low,other,9.640000342999999
243,244,male,other,45.54000092,no,no,yes,no,9.800000191,4.5,1.152420044,12,low,other,9.640000342999999
244,245,female,other,59.68000031,no,no,yes,no,9.800000191,4.5,1.152420044,16,low,other,9.640000342999999
245,246,male,other,58.31999969,no,no,yes,no,9.800000191,4.5,1.152420044,12,low,other,9.640000342999999
246,247,male,other,56.41999817,yes,no,yes,no,9.800000191,4.5,1.152420044,16,low,other,9.640000342999999
247,248,male,other,62.20000076,yes,no,yes,no,9.800000191,4.5,1.152420044,16,high,other,9.640000342999999
248,249,male,afam,57.06999969,no,no,yes,no,9.800000191,4.5,1.152420044,15,low,other,9.640000342999999
249,250,female,other,52.86000061,no,no,yes,no,9.800000191,4.5,1.152420044,15,low,other,9.640000342999999
250,251,female,other,66.86000061,yes,yes,yes,no,6.3000001910000005,1.200000048,1.152420044,17,high,other,9.640000342999999
251,252,female,other,44.59999847,no,no,yes,no,10.69999981,0.5,1.152420044,12,low,other,9.640000342999999
